EDUC ,BSHM,BSBAA,BSCRIM,BSCS,BSN
1 BEED-A,1 BSHM-A,1 BSA-A,1 BSCRIM-A,1 BSCS-A,1 BSN A
2 BEED-A,1 BSHM-B,2 BSA-A,1 BSCRIM-B,1 BSCS-B,1 BSN B
3 BEED-A,1 BSHM-C,3 BSA-A,2 BSCRIM-A,2 BSCS-A,2 BSC A
3 BEED-B,1 BSHM-D,4 BSA-A,3 BSCRIM-A,2 BSCS-B,2 BSA B
4 BEED-A,2 BSHM-A,1 BSBAFM-A,3 BSCRIM-B,3 BSCS-A,3 BSA A
4 BEED-B,2 BSHM-B,1 BSBAFM-B,3 BSCRIM-C,3 BSCS-B,
4 BEED-C,2 BSHM-C,1 BSBAFM-C,4 BSCRIM-A,4 BSCS-A,
1 BSEdEng-A,2 BSHM-D,2 BSBAFM-A,4 BSCRIM-B,4 BSCS-B,
1 BSEdFil-A,3 BSHM-A,2 BSBAFM-B,4 BSCRIM-C,4 BSCS-C,
1 BSEdMath-A,3 BSHM-B,2 BSBAFM-C,4 BSCRIM-D,,
1 BSEdSocSci-A,3 BSHM-C,3 BSBAFM-A,4 BSCRIM-E,,
2 BSEdEng-A,3 BSHM-D,3 BSBAFM-B,1 BSISM-A,,
2 BSEdEng-B,4 BSHM-A,3 BSBAFM-C,1 BSISM-B,,
2 BSEdFil-A,4 BSHM-B,4 BSBAFM-A,2 BSISM-A,,
2 BSEdSocSci-A,4 BSHM-C,4 BSBAFM-B,3 BSISM-A,,
3 BSEdEng-A,4 BSHM-D,4 BSBAFM-C,4 BSISM-A,,
3 BSEdEng-B,4 BSHM-E,4 BSBAFM-D,4 BSISM-B,,
3 BSEdFil-A,,4 BSBAFM-E,4 BSISM-C,,
3 BSEdFil-B,,,,,
3 BSEdMath-A,,,,,
3 BSEdSocSci-A,,,,,
4 BSEdEng-A,,,,,
4 BSEdEng-B,,,,,
4 BSEdEng-C,,,,,
4 BSEdFil-A,,,,,
4 BSEdFil-B,,,,,
4 BSEdMath-A,,,,,
4 BSEdSocSci-A,,,,,
