subject_code,subject_name
CSA101,Organizational and Management Concepts
CSC103,Intermediate Programming (LECTURE)
CSC103L,Intermediate Programming (Laboratory)
CSP101,Discrete Structures 1
GEC104,"Science, Technology and Society"
GEC104,"Science, Technology and Society"
GEC109,Life and Works of Rizal
GEC109,Life and Works of Rizal
GEE102,Living in the IT Era
GEE102,Living in the IT Era
GEE103,Reading Visual Arts
GEE103,Reading Visual Arts
NSTP2,Community Immersion
NSTP2,Community Immersion
PATHFit2,Exercise Based Fitness Activities
CSA101,Organizational and Management Concepts
CSC103,Intermediate Programming (LECTURE)
CSC103L,Intermediate Programming (Laboratory)
CSP101,Discrete Structures 1
GEC104,"Science, Technology and Society"
GEC104,"Science, Technology and Society"
GEC109,Life and Works of Rizal
GEC109,Life and Works of Rizal
GEE102,Living in the IT Era
GEE102,Living in the IT Era
GEE103,Reading Visual Arts
NSTP2,Community Immersion
NSTP2,Community Immersion
PATHFit2,Exercise Based Fitness Activities
CSC106,Information Management
CSC106L,Information Management (Laboratory)
CSP105,Networks and Communications
CSP105L,Networks and Communications (Laboratory)
CSA104,Web Systems and Technologies
CSA104L,Web Systems and Technologies Laboratory
CSP104,Algorithms and Complexity
CSP104,Algorithms and Complexity
PATHFit4,"Choice of Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities"
ACT-OJT2,Practicum 2
ACT-OJT2,Practicum 2
GEC105,Reading in the Philippine History and IP Studies
GEC105,Reading in the Philippine History and IP Studies
CSA103,System Analysis and Design
CSC106,Information Management
CSC106L,Information Management (Laboratory)
CSP105,Networks and Communications
CSP105L,Networks and Communications (Laboratory)
CSA104,Web Systems and Technologies
CSA104L,Web Systems and Technologies Laboratory
CSP104,Algorithms and Complexity
PATHFit4,"Choice of Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities"
GEC105,Reading in the Philippine History and IP Studies
CSA103,System Analysis and Design
CSP111,Software Engineering 2 (Laboratory)
CSP111,Software Engineering 2
CSP112,Operating System (Laboratory)
CSP112,Operating System
CSA106L,Event Driven Programming (Laboratory)
CSA106,Event Driven Programming (Lecture)
CSP113,Human Computer Interaction
MTE101,Quantitative Methods (Math Elective)
CSE102,Elective 2 (Laboratory)
CSE102,Elective 2
CSP115,CS Thesis Writing 1
CSP111,Software Engineering 2 (Laboratory)
CSP111,Software Engineering 2
CSP112,Operating System (Laboratory)
CSP112,Operating System
CSA106L,Event Driven Programming (Laboratory)
CSA106,Event Driven Programming (Lecture)
CSP113,Human Computer Interaction
MTE101,Quantitative Methods (Math Elective)
CSE102,Elective 2 (Laboratory)
CSE102,Elective 2
CSP115,CS Thesis Writing 1
CSP117,CS Practicum
CSP116,Thesis Writing 2
CSP117,CS Practicum
CSP116,Thesis Writing 2
CSP117,CS Practicum
CSP116,Thesis Writing 2
ACT-OJT2,Practicum 2
ACT-OJT2,Practicum 2
NSTP2,Community Immersion
NSTP2,Community Immersion
PATHFit2,Exercise Based Fitness Activities
